country_code,country_name,year,year_trend,control_corruption,political_stability,rule_of_law,homicide_rate_log,exports_percent_gdp,fdi_percent_gdp,gdp_growth,gdp_per_capita_log,inflation,population_log,tourist_arrivals_log,unemployment,rule_of_law_hat,fdi_hat,tourism_hat
COL,Colombia,2000,0,35.2865308,29.8839848,38.8722855,4.2325423635736925,15.915139715438,2.43950747934181,2.92486148176778,7.845810442124553,9.22534818585365,17.481375549356354,13.468787359304866,20.52,41.52219175320053,3.649113180176869,14.188759220961753
COL,Colombia,2002,2,43.1304513,25.3197419,43.0749396,4.268243174540494,14.8155696775272,2.17844751407948,2.50398046659659,7.795205985691528,6.35150728778872,17.51247424642019,13.401510631691982,14.481,42.46312572622746,1.522443453404282,14.018754188904559
COL,Colombia,2003,3,44.2469541,26.0280015,43.8729139,4.068357522079989,16.5752997117627,1.81783931129221,3.91827190322513,7.745843224117566,7.1297886294186,17.527555337007097,13.41204494952365,13.221,43.515011238660335,1.6550729502715171,14.038120310333944
COL,Colombia,2004,4,46.3593505,31.939793,47.8045975,3.9049618859943194,16.7707514248023,2.66083488771203,5.33302206759905,7.943985636424234,5.90402005546502,17.54224370956042,13.64115836129498,13.717,46.812324666823194,2.37793311828257,14.133537168057172
COL,Colombia,2005,5,45.8270002,31.7315837,47.3314856,3.7839489959053183,16.9710437391629,7.02979401438219,4.82876110773741,8.14788625842882,5.05101962689695,17.55624635167605,13.796328757914972,11.062,46.2387939644914,2.2673149318135657,14.120595245505383
COL,Colombia,2006,6,43.7548743,34.5742712,47.4503858,3.736310977472892,17.7285877506525,4.17238510059526,6.71686869844402,8.240082672573331,4.29342363628926,17.569500650775314,14.555541801522192,11.088,46.1089418064116,2.8034345766364837,14.169333726151603
COL,Colombia,2007,7,42.5056073,38.2877257,49.4009901,3.708133255366127,16.4331421263646,4.30867680626701,6.73819469090975,8.470086100993974,5.54438485815155,17.582169560738237,14.683031545460512,11.204,46.68358030718572,3.3783125442565662,14.228427222838874
COL,Colombia,2008,8,43.1971573,37.8071024,49.9302984,3.6345289240813536,18.1095951350739,4.35627834630067,3.28344618616541,8.620081186310896,6.9968849555451,17.59420347621888,14.749641600893993,11.273,47.57095629299485,3.643460636226294,14.253182464961268
COL,Colombia,2009,9,41.9935632,39.1755145,48.9970118,3.603518743216944,16.4244956875755,3.45627065154005,1.13964864548062,8.566168657337226,4.20251661216481,17.60585261322832,14.78969314575508,12.066,47.220402186243064,3.8174156043480316,14.268281477287841
COL,Colombia,2010,10,40.2418143,43.1639794,50.7518616,3.5702134523997078,16.3408447597691,2.24433595561184,4.49465897070922,8.763786959626445,2.27200227892008,17.617212296864682,14.346727459267305,11.153,47.205857445694605,4.234774582054957,14.312219097173964
COL,Colombia,2011,11,43.6714103,45.9787128,50.2483332,3.600927865468571,19.2765050733171,4.37269536127322,6.94789198173555,8.90936960389555,3.4150334477625,17.62792566963131,14.67247624820174,10.288,49.894567521773865,4.304073247664832,14.344184003852074
COL,Colombia,2012,12,39.5560695,43.151392,49.2600929,3.609871444080799,18.8112052836654,4.05728041313345,3.91263576716115,9.00068030633393,3.16930188840055,17.637954747896842,14.70504696337587,9.959,46.989936063213854,4.36930609960238,14.321002491439888
COL,Colombia,2013,13,38.9235722,43.7037921,48.6401238,3.5385207240662275,18.0864397214368,4.24252457969381,5.13399351995672,9.021489854600407,2.01699224310383,17.647441841184357,14.769097459938507,9.246,46.66496743511649,4.391641697774681,14.322206076751474
COL,Colombia,2014,14,40.3387065,48.8925418,49.8831049,3.3896073155720416,16.6347491096509,4.24107256687862,4.49903000110972,9.010328245586576,2.89883787761737,17.65636895682362,14.868428236288546,8.799,48.80329363346527,4.767644497399115,14.38112994118183
COL,Colombia,2015,15,41.4314416,49.5727208,50.0884527,3.33986361307762,15.6502115094968,3.95939854860993,2.95590137527523,8.740099099350715,4.98983115849529,17.66501838059125,15.030720290864032,8.572,49.309777043732765,4.6067378745807765,14.374322637323699
COL,Colombia,2016,16,40.3758051,50.9727937,50.9612969,3.301151124151248,14.7171392781975,4.90164572903473,2.08738250162794,8.692799334152472,7.51346024627674,17.67492386608452,15.11706396273788,8.922,49.290992458078826,4.908957108304197,14.401546328563201
COL,Colombia,2017,17,39.5383299,52.5716247,50.6762137,3.2790696231686014,15.1452897484005,4.3931823276543,1.35936086788746,8.77640361281022,4.3143132569501,17.689438638701436,15.21570807080145,9.086,49.32789978721597,5.150206385961358,14.425094284057176
COL,Colombia,2018,18,41.405998,54.5255309,49.701606,3.2116803777473835,15.8997196775431,3.38083573220188,2.56432428277704,8.827170104063562,3.24056932930569,17.707830017187547,15.296433275590712,9.36,51.13777371512615,5.356944824482284,14.459018182481062
COL,Colombia,2019,19,42.3435637,50.4304751,49.1724423,3.194544659940113,15.8680386541241,4.33058240931506,3.18685539245533,8.77532473350093,3.52301932741446,17.725691567959988,15.326453444351085,10.28,50.9503301379136,5.134755947845964,14.428302232208253
COL,Colombia,2020,20,42.6636046,54.2459136,48.6606218,3.1630545292080723,13.5222755593302,2.7588942895314,-7.18591413760859,8.582922337274953,2.52663500084706,17.740054784692685,14.149122278636575,15.983,53.311911793238316,6.118064560707282,14.530922748495604
CRI,Costa Rica,2000,0,68.5921845,77.3356885,65.3048916,1.9910782105628315,42.9303221707385,4.81846449896273,3.86871808953644,8.246107010921255,10.9615496593622,15.18611725868665,14.060807696391924,5.08,70.45148676671825,4.764123277909224,14.613237758572726
CRI,Costa Rica,2002,2,57.143028,81.7856914,67.3024742,1.992001870435639,39.2245352070616,4.36202694033196,3.41687639041064,8.310837559663966,9.16752048509118,15.220554295828236,14.104442598879876,6.396,65.53115258186716,6.015864384113176,14.689299145456525
CRI,Costa Rica,2003,3,57.622973,76.1467767,66.5482031,2.1100319676399324,40.6717129184331,4.48353970316272,4.31717986636224,8.336426081241125,9.44758091616983,15.235912582850624,14.230266373481294,6.654,64.43192378504712,5.5418034661502915,14.628505124980702
CRI,Costa Rica,2004,4,55.5280511,77.7265223,66.4836079,2.036865881879733,42.2076534629626,5.8231265333186,4.42459959654504,8.396383216374122,12.3148150178852,15.25061365450972,14.38705548141755,6.445,64.21009411303253,6.105969974784191,14.674916138514115
CRI,Costa Rica,2005,5,55.6495671,80.0237175,67.6124235,2.181722981983187,43.4645223606983,7.62843539507747,3.97666636818026,8.455957416676547,13.7982949108987,15.26507075570225,14.48794520739107,6.749,64.85138167172441,6.2894116211319755,14.70024487637214
CRI,Costa Rica,2006,6,55.9348432,80.6908838,66.2066705,2.2107418577214824,43.3140351086932,7.92850433097117,7.3266954325067,8.567239025681252,11.4705968149052,15.279076097308,14.543542623236126,5.926,64.86999567235155,6.156628739530511,14.692263261424387
CRI,Costa Rica,2007,7,57.0957135,79.7853711,66.0464956,2.24327888715365,40.5821375084213,8.33742597856098,8.21513198348715,8.722207313136439,9.35724456417157,15.292615901754289,14.649289302668736,4.557,64.63109388133944,5.644070123985646,14.648749450876425
CRI,Costa Rica,2008,8,57.7269153,75.7933293,66.4427462,2.528236488172563,38.8064606509756,7.90900698278232,4.73817487754022,8.844659656964371,13.4244635507283,15.306177546941482,14.694722696706926,4.934,63.64760921342225,5.086058094283718,14.587343822771007
CRI,Costa Rica,2009,9,60.3773986,78.1993684,67.7552551,2.5390166499079085,34.6323050259288,5.25151067245965,-0.873455942787785,8.829474940321626,7.84270167700653,15.319541509217528,14.652325521424457,7.824,65.77403779183912,5.153707623140736,14.614153503599157
CRI,Costa Rica,2010,10,62.0102548,79.4541674,68.1503268,2.5310950718497125,32.8294113467273,5.06371170213526,5.36034352634111,9.019880372042689,5.66275708420021,15.331947262864734,14.72979968796928,7.171,66.73508657849541,5.0136910419854495,14.61375206053651
CRI,Costa Rica,2011,11,61.1718727,76.6845977,64.9264179,2.42324116610298,32.4724708770444,6.39172539644787,4.40315923970431,9.1352278573739,4.87799830970702,15.34370218872014,14.742147977775314,9.518,66.66917309962771,5.443051013128386,14.63765576256572
CRI,Costa Rica,2012,12,61.4268371,77.0920998,64.6597621,2.274858182232867,31.6513173356963,5.70866124854743,4.88259241025739,9.222960314699684,4.49545314354605,15.355369855968943,14.74846212412249,9.11,67.17509428535054,5.60761660473511,14.654870537089137
CRI,Costa Rica,2013,13,61.2814766,77.153462,64.8418686,2.2736444308997323,30.5916493612524,6.29127735209415,2.49476611209954,9.287601386284129,5.23133614174428,15.36650271063707,14.78666856992365,8.218,66.89151517026791,5.500024802480613,14.644932533398796
CRI,Costa Rica,2014,14,63.6632595,77.5166561,66.3685302,2.398444529424529,31.3629152835975,6.23293662208767,3.54210987765977,9.297572363475926,4.51920098516953,15.377252697164666,14.830741600012107,8.499,68.0829240186678,5.2608323811890685,14.635788228749217
CRI,Costa Rica,2015,15,63.4401897,78.6355453,65.935817,2.5305745825932826,29.9956578647983,5.23639457671538,3.65208096802883,9.36860064710054,0.801982005099623,15.38787734921593,14.879876752850269,8.415,67.66374759326752,5.047152266166975,14.620059958399352
CRI,Costa Rica,2016,16,64.1176151,78.4171178,65.8170374,2.555357736215486,31.2600963003845,4.45296211770326,4.20432325175899,9.400219147639367,-0.0174788505908217,15.397987877884749,14.9799108992802,8.085,67.94267037574919,4.9637710491828955,14.614902598711312
CRI,Costa Rica,2017,17,59.7032522,78.5448694,66.277594,2.585740770334845,32.7626831479863,4.83327522078441,4.1576989627609,9.418743030388557,1.62590692991731,15.407431337369328,14.988302554308287,7.729,65.71971209736324,5.353899247980905,14.630130599165552
CRI,Costa Rica,2018,18,61.0056411,76.735494,65.8900262,2.5494096771109707,33.7385107761536,4.829438721344,2.6159044043379,9.440677934480144,2.2211146152658,15.416476282553363,15.01336498312322,9.01,66.60868381975921,5.468096102391289,14.639316717578026
CRI,Costa Rica,2019,19,62.5292538,76.5896171,66.9617832,2.506423950619104,34.3253215593308,4.22094016659811,2.41751181762513,9.463794752995096,2.09604635327807,15.424859066401956,15.029235950821375,10.807,68.10669692014088,5.746363642254252,14.670203093570162
CRI,Costa Rica,2020,20,63.1650182,81.6952443,67.8366858,2.5114093178486447,31.9064976578059,3.37043523313038,-4.27335432161462,9.42497174906754,0.724911478131375,15.431789020396428,13.952225253499517,16.432,70.97683461182918,6.8236686545642975,14.787357801673853
DOM,República Dominicana,2000,0,36.7998081,63.6298001,44.6542196,2.714408646449352,35.4978251417642,4.0689908919589,4.65172550299128,7.948547347705056,7.72413566181615,15.965432697250884,14.966399307553289,6.432,49.11737598977069,5.427452152840889,14.4785675820626
DOM,República Dominicana,2002,2,35.950275,63.162825,44.7024061,2.7375008153521434,30.724010155589,3.41225986375611,4.48650367045651,8.027999662685266,5.22336769759446,15.996180527473536,14.93327199248221,6.779,48.17566886974334,5.243740008201009,14.456777107874238
DOM,República Dominicana,2003,3,30.5054317,55.718872,43.3697194,3.099143129013921,42.1529981602708,2.88055489904245,-1.34935744782766,7.776225298094603,27.4497127394394,16.01057948021133,15.118423581884208,6.938,44.63516721294444,5.706366772705717,14.445591542385841
DOM,República Dominicana,2004,4,33.3098417,58.1533844,46.0778597,3.2422475975587224,41.1474766418853,4.18629057899448,2.58556667449577,7.804533520861816,51.4608598338065,16.024322409459,15.178280629988032,6.303,47.4080525074604,6.075603572390392,14.499870659669384
DOM,República Dominicana,2005,5,30.6147401,59.2115536,47.322777,3.294024998369607,28.3311381514539,3.12598170087694,9.43178931977285,8.263155303774978,4.19020260472056,16.03743143352093,15.19704385317559,6.587,43.06270536947688,4.593674524848115,14.360681078293876
DOM,República Dominicana,2006,6,34.5887949,63.2623629,49.0826523,3.176057098334621,28.2249162691947,4.0356569620282,9.17120650955299,8.30774115790901,7.57280523853073,16.049943461713294,15.266656125705534,5.654,46.39801948094263,4.752159156674679,14.407576630400582
DOM,República Dominicana,2007,7,32.6530768,64.527305,48.7548159,3.1495367877715976,26.7620220119612,5.12424998266344,7.41840577774235,8.444546278205335,6.14356655248047,16.062123850461266,15.289128976350888,5.158,45.56794875063351,4.936047018189694,14.41989244600472
DOM,República Dominicana,2008,8,32.7897739,65.4106236,47.1851378,3.258384763263208,23.9483515015273,5.67335967834237,3.26808671288212,8.521899127914168,10.6446210953711,16.07447077369631,15.309537843353914,4.764,45.56230075384492,4.832683275899548,14.414653447969533
DOM,República Dominicana,2009,9,33.2767873,64.886063,46.490686,3.23854094887113,21.0931826103163,3.51548540591409,1.00345293018719,8.51196994799959,1.44215131834353,16.087148179962483,15.317140740530808,5.467,45.207217619496994,4.483751696084109,14.384016097182675
DOM,República Dominicana,2010,10,32.4510258,64.9199956,45.6350077,3.265493487207641,22.7751186165488,3.38320513554667,8.40114541209596,8.608609382019452,6.32993220146146,16.09994950094579,15.314687299454793,5.212,45.1916633116546,4.779217940995611,14.406580497512246
DOM,República Dominicana,2011,11,33.542595,64.873245,46.5660671,3.268328639261243,24.3269602141381,3.79217588020774,3.19196227475523,8.670173496523594,5.79676809206533,16.112642911759615,15.35323783771328,6.087,46.22241737502584,4.951669467679498,14.426543780867185
DOM,República Dominicana,2012,12,32.032281,66.4306599,46.8745346,3.157911682364466,24.7666213993906,5.64036946601582,2.77567100848816,8.701815374742651,3.69449707884776,16.125112078161767,15.404950027931656,6.722,46.24096569807403,5.434374181563701,14.468282573428848
DOM,República Dominicana,2013,13,32.2508937,65.7284045,47.6363216,3.0157255472706,25.3838177066263,2.55757225532805,4.93473300709881,8.722025191892458,4.830950967408,16.137293487562335,15.4474926303749,7.351,46.88634971942476,5.752384692750052,14.494771133775426
DOM,República Dominicana,2014,14,32.5615749,66.8331451,49.8492033,2.9202737571408,25.4069026925032,3.55938801753347,7.11122629673892,8.779011409860257,2.99864226125218,16.149160890768336,15.53398241076251,6.719,47.35740916630996,5.8377589922836925,14.507829123294892
DOM,República Dominicana,2016,16,31.7819762,68.5519931,47.7981194,2.792113145181448,24.1938670386292,3.33024928523507,6.71974078681295,8.876326991264788,1.61416607245222,16.17177195372465,15.727864071223042,7.284,47.80680286993302,6.280679540833372,14.549920538089074
DOM,República Dominicana,2017,17,31.6402349,67.4637175,47.3345164,2.517681274662068,24.1797519638034,4.55025610026855,3.93386176401576,8.910952144496719,3.27955694678546,16.18265070320925,15.8028369477977,5.832,47.86455112522297,6.426443330889658,14.558123392018691
DOM,República Dominicana,2018,18,30.7634121,65.9469346,47.5276274,2.389253378535658,23.993089643769,3.22902365102652,7.09751640210159,8.972461565044354,3.56443426013507,16.193393550581742,15.837190695218345,5.861,47.45142532648622,6.606286920187735,14.564454347334392
DOM,República Dominicana,2019,19,31.6185157,66.7744903,48.7017175,2.34353418339092,23.325332586795,3.17366550445317,4.8940301149584,9.009816094639277,1.81060377042959,16.203726684044828,15.83705825367553,6.356,48.26859370080111,6.698307716737929,14.579503549157241
DOM,República Dominicana,2020,20,33.553066,69.9277076,50.4017581,2.275190938390036,18.7972072415048,3.13265976088131,-7.92905234231061,8.872798746320544,3.78103179915516,16.214160091690886,14.82638429622533,6.126,49.68564639556507,6.594080708952145,14.590691747269037
GTM,Guatemala,2000,0,36.4253418,50.2131715,39.7765583,3.251367108834576,20.1950343956927,-4.08835554722306,3.6088687174876,8.06020288035462,5.97757734737136,16.274893566619983,13.624351263156136,2.143,42.306941672492414,2.523867820740911,14.17008353969844
GTM,Guatemala,2002,2,31.6690548,49.2101143,39.2414173,3.422576596955279,26.7262767971618,-4.97449876130187,3.83928708556792,8.075043883077315,8.13263054281054,16.32078462650412,13.69221347284086,2.254,39.979399064348506,3.045877894994309,14.19123229122956
GTM,Guatemala,2003,3,31.4200515,50.1020421,38.6392974,3.5503662639899902,26.1810997164793,0.0903239703402523,2.56037766801896,8.077805570944838,5.60347675434469,16.34330442822457,13.68767832281738,2.807,39.76886853640885,2.9708076708005606,14.186801889657191
GTM,Guatemala,2004,4,35.8246135,49.8931273,41.5842466,3.5887990696380303,27.4194097089723,1.36317570702825,3.13791683609193,8.086473061160998,7.57862247309729,16.365533842999678,13.982719322971512,2.971,42.27810041716844,2.7483883268161584,14.186060960044024
GTM,Guatemala,2005,5,34.9110624,50.4675832,41.1657718,3.7325759542819616,25.454901513817,2.01617500337249,3.27602692588886,8.097064004165896,9.1086498571922,16.387177990845878,14.09010815074553,3.059,41.555228807659354,2.651920975471011,14.175581267719545
GTM,Guatemala,2006,6,34.7665824,50.9033246,41.0857386,3.8072139691721794,25.3398334344627,2.13587522888421,5.35139778711536,8.128039338557464,6.56085282795384,16.408333878659867,14.222308777084956,2.96,41.29973782201272,2.5386517402306055,14.166540107226986
GTM,Guatemala,2007,7,35.460776,51.6469157,41.0928415,3.769198734776126,25.9805176037841,2.55959192771149,6.33771869016203,8.168423567117761,6.82161753590326,16.429399518978073,14.302863439795049,2.847,42.06491758622278,2.6660480874526833,14.183685242843739
GTM,Guatemala,2008,8,38.5427601,52.6221145,40.6894949,3.8319387786932673,25.1243459208619,1.89952208705823,3.29352400028485,8.180300877715307,11.355761126315,16.449926705364902,14.354924221672386,2.898,44.005741667306694,2.550622983370676,14.190901647095364
GTM,Guatemala,2009,9,37.4860387,52.2082581,41.2801954,3.843964932798318,24.3678264820599,1.34627822535543,0.476898106596394,8.165133943672892,1.85910254733028,16.46985128490819,14.086301525522051,3.22,42.854183681186626,2.323780002714855,14.164567167145583
GTM,Guatemala,2010,10,35.2860247,52.0388513,41.4796434,3.740122069808806,26.2254643341594,2.71030706792051,2.88417542800377,8.173751956179775,3.8595090983316,16.489666931498903,14.140489137702843,3.497,42.307840619142915,2.8441917137129877,14.200120021665041
GTM,Guatemala,2011,11,36.6847937,53.0292715,39.1893325,3.673907157417328,27.0677057848772,1.87038244023626,4.16390688293349,8.194608817793403,6.214123930671,16.50960557013072,14.17597899749153,3.169,43.61577990797861,2.999063963970155,14.223767979777795
GTM,Guatemala,2012,12,32.2842052,53.6642168,40.422741,3.559980082302225,25.267092636425,2.82256297187213,2.97470856847661,8.204008174640052,3.78180754679678,16.52951943749493,14.21495826443746,2.765,41.34523566969011,3.329116443830749,14.235634058322885
GTM,Guatemala,2013,13,33.2766314,53.3610765,39.1168875,3.5410048973625563,21.9981664670011,2.87216286478145,3.69481894978053,8.220754121817835,4.34337131279521,16.54905545640493,14.231586504814842,3.017,41.70113417057884,3.17663848021029,14.225459214542962
GTM,Guatemala,2014,14,30.2285619,53.4202728,40.4388382,3.54088947661255,21.7443606885213,2.43302117698753,4.44397783368888,8.245283643012058,3.4183616966296,16.56800657959068,14.368821368379384,2.717,40.00197927423399,3.356131914521633,14.227915719396613
GTM,Guatemala,2017,17,29.9629181,53.9242978,40.596175,3.5206227432668133,18.4950394164293,1.39328931381397,3.07985126948702,8.28721145752381,4.42453655182546,16.622944871550697,14.566927118346197,2.462,39.85669328930294,3.345347389277684,14.227651290728982
GTM,Guatemala,2018,18,28.1792179,54.2170508,40.0835439,3.397977006549938,18.1693258488802,1.25790065429015,3.40687348346576,8.304052478764707,3.75186186704508,16.63960509888172,14.693476591144272,2.283,39.21284936128972,3.6312091591559135,14.24604398423668
GTM,Guatemala,2019,19,27.5352234,54.0326157,39.6565997,3.293671554091285,17.6119727745274,1.51707073546928,4.01789785040324,8.328238976301511,3.69998398008605,16.654811394407012,14.75551820708067,2.193,39.058179815511764,3.794040279419402,14.256876866124884
